symbol,side,stars,entry_time,entry_time_str,entry_price,exit_time,exit_time_str,exit_price,pnl_pct,exit_reason
NXPC/USDT:USDT,LONG,2,1763625360,2025-11-20 07:56:00,0.462,1763625504,2025-11-20 07:58:24,0.4624,0.08658008658007704,Z_TO_ZERO
SAGA/USDT:USDT,SHORT,2,1763629645,2025-11-20 09:07:25,0.1084,1763629645,2025-11-20 09:07:25,0.1084,0.0,TREND_FLIP
